fold,train_start,train_end,valid_start,valid_end,clock,strategy,group_columns,fallback_alpha,parameter_rows,fallback_weights
rw_01,1279,1398,1399,1458,none,global_shrink,"",1.0,1,
rw_01,1279,1398,1399,1458,row_activity,clock_shrink,clock_bucket,1.0,20,
rw_01,1279,1398,1399,1458,row_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,67,
rw_01,1279,1398,1399,1458,row_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_01,1279,1398,1399,1458,row_activity,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.0, ""ridge_calibrated_prediction"": 0.2860556893558326, ""xgboost_prediction"": 0.7139443106441674}"
rw_01,1279,1398,1399,1458,batch_missing,clock_shrink,clock_bucket,1.0,3,
rw_01,1279,1398,1399,1458,batch_missing,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,12,
rw_01,1279,1398,1399,1458,batch_missing,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,12,
rw_01,1279,1398,1399,1458,batch_missing,clock_simplex,clock_bucket,,3,"{""lightgbm_prediction"": 0.0, ""ridge_calibrated_prediction"": 0.2860556893558326, ""xgboost_prediction"": 0.7139443106441674}"
rw_02,1339,1458,1459,1518,none,global_shrink,"",1.0,1,
rw_02,1339,1458,1459,1518,row_activity,clock_shrink,clock_bucket,1.0,20,
rw_02,1339,1458,1459,1518,row_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,68,
rw_02,1339,1458,1459,1518,row_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_02,1339,1458,1459,1518,row_activity,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.19663313370504715, ""ridge_calibrated_prediction"": 0.0, ""xgboost_prediction"": 0.8033668662949529}"
rw_02,1339,1458,1459,1518,batch_missing,clock_shrink,clock_bucket,1.0,2,
rw_02,1339,1458,1459,1518,batch_missing,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,8,
rw_02,1339,1458,1459,1518,batch_missing,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,8,
rw_02,1339,1458,1459,1518,batch_missing,clock_simplex,clock_bucket,,2,"{""lightgbm_prediction"": 0.19663313370504715, ""ridge_calibrated_prediction"": 0.0, ""xgboost_prediction"": 0.8033668662949529}"
rw_03,1399,1518,1519,1578,none,global_shrink,"",1.0,1,
rw_03,1399,1518,1519,1578,row_activity,clock_shrink,clock_bucket,1.0,20,
rw_03,1399,1518,1519,1578,row_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,65,
rw_03,1399,1518,1519,1578,row_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
rw_03,1399,1518,1519,1578,row_activity,clock_simplex,clock_bucket,,20,"{""lightgbm_prediction"": 0.0, ""ridge_calibrated_prediction"": 0.07179621261932785, ""xgboost_prediction"": 0.9282037873806721}"
rw_03,1399,1518,1519,1578,batch_missing,clock_shrink,clock_bucket,1.0,3,
rw_03,1399,1518,1519,1578,batch_missing,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,12,
rw_03,1399,1518,1519,1578,batch_missing,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,12,
rw_03,1399,1518,1519,1578,batch_missing,clock_simplex,clock_bucket,,3,"{""lightgbm_prediction"": 0.0, ""ridge_calibrated_prediction"": 0.07179621261932785, ""xgboost_prediction"": 0.9282037873806721}"
rw_04,1459,1578,1579,1638,none,global_shrink,"",1.0,1,
rw_04,1459,1578,1579,1638,row_activity,clock_shrink,clock_bucket,1.0,20,
rw_04,1459,1578,1579,1638,row_activity,clock_weight_shrink,"clock_bucket,weight_bucket",1.0,65,
rw_04,1459,1578,1579,1638,row_activity,clock_predabs_shrink,"clock_bucket,ensemble_abs_bucket",1.0,80,
