fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,conservative_rls_prediction,strong_base,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,conservative_rls_prediction,strong_base,2233176,4180669.75,4656493.832336634,4717466.0,0.01292477098157474
rw_03,conservative_rls_prediction,strong_base,2229304,4319461.5,1802438.9567814027,1827235.0,0.01357025408258783
rw_04,conservative_rls_prediction,strong_base,2247696,4716233.5,3069584.054552866,3110372.5,0.013113685080206272
rw_05,conservative_rls_prediction,strong_base,2178000,4511331.5,4067754.191633725,4151853.25,0.020255787789771884
rw_01,aggressive_rls_prediction,strong_base,2263184,3378130.25,2577634.4277464375,2620656.75,0.016416618564626062
rw_02,aggressive_rls_prediction,strong_base,2233176,4180669.75,4656741.2896376485,4717466.0,0.012872315425771275
rw_03,aggressive_rls_prediction,strong_base,2229304,4319461.5,1802461.9520206037,1827235.0,0.013557669363489788
rw_04,aggressive_rls_prediction,strong_base,2247696,4716233.5,3070625.97008225,3110372.5,0.012778704131981011
rw_05,aggressive_rls_prediction,strong_base,2178000,4511331.5,4067700.033709775,4151853.25,0.020268832066794418
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2263184,3378130.25,2577925.969853109,2620656.75,0.01630537083763095
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2233176,4180669.75,4656472.734575354,4717466.0,0.012929243247253197
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2229304,4319461.5,1802443.2956949994,1827235.0,0.013567879503731395
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2247696,4716233.5,3069575.4173054127,3110372.5,0.013116461997586204
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2178000,4511331.5,4067137.5942256404,4151853.25,0.020404299158299888
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2263184,3378130.25,2577969.7542222086,2620656.75,0.016288663434381956
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2233176,4180669.75,4656481.732786517,4717466.0,0.012927335822554564
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2229304,4319461.5,1802461.915517534,1827235.0,0.013557689340706669
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2247696,4716233.5,3069550.4762163465,3110372.5,0.013124480679935768
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2178000,4511331.5,4065911.999557561,4151853.25,0.020699491351829247
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2263184,3378130.25,2577669.31219594,2620656.75,0.016403307225969277
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2233176,4180669.75,4656708.150200823,4717466.0,0.012879340264281058
rw_03,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2229304,4319461.5,1802469.553973409,1827235.0,0.013553509004912256
rw_04,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2247696,4716233.5,3070599.4373627673,3110372.5,0.012787234531308589
rw_05,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2178000,4511331.5,4067030.948406468,4151853.25,0.02042998547540953
rw_01,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2263184,3378130.25,2577760.025927587,2620656.75,0.01636869234111371
rw_02,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2233176,4180669.75,4656847.095537265,4717466.0,0.012849886880527683
rw_03,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2229304,4319461.5,1802503.4635202643,1827235.0,0.013534951158299724
rw_04,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2247696,4716233.5,3070524.9335334892,3110372.5,0.012811187877500463
rw_05,gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,2178000,4511331.5,4065744.79360532,4151853.25,0.020739763958343094
rw_01,strong_oof_ridge_stack,strong_stack,2263184,3378130.25,2577910.8696743455,2620656.75,0.016311132820295726
rw_02,strong_oof_ridge_stack,strong_stack,2233176,4180669.75,4657168.289663702,4717466.0,0.012781800724435022
rw_03,strong_oof_ridge_stack,strong_stack,2229304,4319461.5,1802475.2208460271,1827235.0,0.01355040766730764
rw_04,strong_oof_ridge_stack,strong_stack,2247696,4716233.5,3070120.087840492,3110372.5,0.012941347751598276
rw_05,strong_oof_ridge_stack,strong_stack,2178000,4511331.5,4067762.5062569412,4151853.25,0.020253785160412097
